Record #,Code / Description,Responsible Party,Unit(s),Status,Picture,Correction Required By:
HSNG-25-1664,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)(Furniture on tree belt)Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  NOTE; SPECIAL PICK UP ITEMS MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY TO AVOID IMMEDIATE TICKET. ,Owner,Exterior,Cited,"",12/12/2025
HSNG-25-1659,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1658,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1657,"CHAPTER 327 Article I § 327-13 LITTER OCCUPIED ( A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Etc.Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  Street  Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY.",Owner,"",Cited,"",""
HSNG-25-1656,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)(couch on tree belt, miscellaneous debris, Litter scattered around yard and trash reciprocals)Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  NOTE; SPECIAL PICK UP ITEMS MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY TO AVOID IMMEDIATE TICKET.",Owner,Exterior,Cited,"",12/15/2025
HSNG-25-1655,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Miscellaneous debris, paper, plastic, cardboard bedframe, parts, etc.) ",Owner,"",Cited,"",""
HSNG-25-1653,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. Automated containers shall be placed at the City-designated collection point on the scheduled collection day by 6:30 a.m. Such location shall be easily accessible to the container, with the lids completely closed and unobstructed to the collection vehicle.  It shall be the duty of each customer to remove the automated container from the curbline on the SAME DAY AS COLLECTION, failure to remove the containers on collection day, shall subject  the customer to a fine",Owner,"",Cited,"",""
HSNG-25-1652,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)(Pile of tires and trash bag in parking lot),Owner,Exterior,Cited,"",12/11/2025
HSNG-25-1651,"CHAPTER 327 Article I § 327-13 LITTER OCCUPIED ( A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Mattresses , EtcNote: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  Street  Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY.",Owner,"",Cited,"",""
HSNG-25-1650,"VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Trash, litter, debris, shopping carts full of trash scattered around vacant lot. Pile of trash and miscellaneous junk behind fence)",Owner,Exterior,Cited,"",12/16/2025
