Record #,Code / Description,Responsible Party,Unit,Correction Required By:,Status,Picture
HSNG-25-1632,105.CMR.410.150: Hot Water(B)( no hot water temperature at 61.7 at time of inspection)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements.2(B)(Basement active leak from unknown source),Owner,"","",Cited,""
HSNG-25-1630,105.CMR.410.180: Temperature Requirements(A) (Temperature reading 65.8°F at time of inspection),Owner,"","",Cited,""
HSNG-25-1625,"105.CMR.410.130: Potable Water/Sanitary Drainage(A) The owner shall provide a supply of potable water sufficient in quantity and pressure to meet the ordinaryneeds of every occupant.( No water)105.CMR.410.003: General Provisions(3)( no water)105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(3,5)",Owner,"",11/20/2025,Cited,""
HSNG-25-1623,105.CMR.410.150: Hot WaterThe owner shall provide and maintain in good operating condition facilities capable of heating and delivering hot water:(A) In a quantity and pressure sufficient to satisfy the ordinary use of all plumbing fixtures which normally need hot water for their proper use and function.(B) In a temperature range of not less than 110° F(43°C) and not greater than 130°F (54°C) for fixtures other than a bathtub or shower. (water 51.0 degrees),Owner,2R,"",Cited,""
HSNG-25-1623,"105.CMR.410.630: Conditions Deemed to Endanger or Materially Impair Health or Safety (A) The following conditions, when found to exist in a residence, shall always be deemed conditions which may endanger or materially impair the health, or safety and well-being of a person or persons occupying the premises: (1) Failure to provide and maintain a supply of water sufficient in quantity, pressure and temperature, both hot and cold, to meet the ordinary needs of the occupant, required by 105 CMR 410.130, 410.140, and 410.150, for a period of 24 hours or longer. ",Owner,2R,"",Cited,""
HSNG-25-1614,"105.CMR.410.500 (A) (1) (2)(Active leak coming from bathtub through kitchen ceiling, structural damage from leak, buildup of mold like substance and water spots in kitchen ceiling, open plumbing, walls, and floor in closet and bathroom made to assess leak causing structural defects)",Owner,"",11/21/2025,In Progress,""
HSNG-25-1601,"IMMEDIATE CONDEMNATION TENT BEING USED AS DWELLING105.CMR.410.003 (A) GENERAL PROVISIONS(Tent being used as dwelling)105.CMR.410.130 (A) POTABLE WATER/SANITARY DRAINAGE(No water)105.CMR.410.200 PROVISIONS AND METERING OF ELECTRICITY OR GAS(No electricity)105.CMR.410.320 ELECTRICAL SERVICE (A) 1, 3 (Extension cords extending through window to tent)105.CMR.410.570 (A) 1, 3, 5 MAINTENANCE OF AREAS IN A SANITARY AND SAFE CONDITION(Yard has miscellaneous debris, including cardboard boxes, television, carpet, paint containers, hamper, plastic storage containers, tools etc.)105.CMR.410.630 (A) 1, 3 CONDITIONS DEEMED TO ENDANGER OR MATERIALLY IMPAIR HEALTH AND SAFETY (A) 1, 3",Owner,"","",Cited,""
HSNG-25-1601,"105.CMR.410.570(B) MAINTENANCE OF AREAS IN A SANITARY AND SAFE CONDITION( Area around tents has cardboard boxes, plastic bottles, bag with thrash, containers etc.)105.CMR.410.320 (A) 1, 3 ELECTRICAL SERVICES(Extension cords running from house through and through tent entrance)",Tenant,"","",Cited,""
HSNG-25-1600, 105.CMR.410.150 (B) (Hot water measured below minimum requirements at 94.8°F),Owner,"","",Cited,1356768
HSNG-25-1598,105.CMR.410.210: Provision of OilThe owner shall provide for the oil used for heating and/or hot water in each dwelling unit( No oil in tanks.),Owner,"","",Cited,""
HSNG-25-1598,"105.CMR.410.180: Temperature Requirements(A) The owner shall provide heat in every habitable room and every room containing a toilet, shower, or bathtub from September 15th through May 31st inclusive so that it shall be:(1) At least 68°F(20°C)between 7:00 A.M. and 11:00 P.M.; and (2) At least 64°F (17°C)between 11:01 P.M. and 6:59 A.M.(temp at inspection 65.3)",Owner,"","",Cited,""
HSNG-25-1592,105.CMR.410.150: Hot Water(B)(Temperature at 55.4°F),Owner,"","",Corrected,""
HSNG-25-1559,"INSUFFICIENT HOT WATER 105.CMR.410.150 (B) (C)(Entire dwelling has had insufficient hot water for over 24 hours, measured below minimum requirements in 3 different units)",Owner,"","",Corrected,""
