Applicant Name,Archived,Full Address,Latitude,Location Flags,Longitude,MAT ID,Occupancy Type,Owner Country,Owner Name,Owner Postal Code,Owner State,Owner Street No,Property Use,Segment End Point Latitude,Segment Length (miles),Segment Start Address,Segment Start Point Longitude,State,Street Name,Unit,Water,Year Built,Zoning,Street No,Sewage,Segment Start Point Latitude,Segment End Point Longitude,Segment End Address,Postal Code,Owner Unit,Owner Street Name,Owner Phone No,Owner Email,Owner City,Mbl,Lot Area,Location ID,Location,Country,City,Building Type
,False,"47 - 45 NARRAGANSETT ST, SPRINGFIELD, MA 01107",42.118304,,-72.598262,,,,,,,,,,,,-72.598262,MA ,NARRAGANSETT ST ,,,,,47 - 45 ,,42.118304,,,01107,,,,,,089350040  ,,120969,"47 - 45  NARRAGANSETT ST , SPRINGFIELD  MA  01107",US,SPRINGFIELD ,
,False,"415 Belmont Ave, Springfield, Massachusetts 01108",42.087254,"Neighborhood: Forest Park, Zip Code: 01108",-72.562585,P305702,,,KENQUAD LIMITED PARTNERSHIP,01103,MA,1780 MAIN ST,,,,,-72.562585,Massachusetts,Belmont Ave,,,1916,B1,415,,42.087254,,,01108,,,413-233-1701,DSCOTT@WAYFINDERS.ORG,SPRINGFIELD,072500002,11449.0,62939,"415 Belmont Ave, Springfield Massachusetts 01108",US,Springfield,114: Affordable Housing Units
,False,"87 Wollaston St, Springfield, MA 01119",42.136239,,-72.510171,,,,,,,,,,,,-72.510171,MA,Wollaston St ,,,,,87,,42.136239,,,01119,,,,,,,,120950,"87 Wollaston St , Springfield  MA 01119",US,Springfield ,
,False,"31 Elm St, Unit 507, Springfield, MA 01103",42.10043,,-72.587999,,,,,,,,,,,,-72.587999,MA,Elm St,507,,,,31,,42.10043,,,01103,,,,,,,,120884,"31 Elm St, Unit 507, Springfield  MA 01103",US,Springfield ,
,False,"71 School St, Unit 1L, Springfield, MA 01105",42.103376,,-72.579921,,,,,,,,,,,,-72.579921,MA,School St ,1L,,,,71 ,,42.103376,,,01105,,,,,,,,120838,"71  School St , Unit 1L, Springfield  MA 01105",US,Springfield ,
,False,"616 Bay St, Springfield, Massachusetts 01109",42.122154,"Neighborhood: Bay, Zip Code: 01109",-72.559673,P304592,,,SPRINGFIELD HOUSING AUTHORITY,01104,MA,25 SAAB CT,,,,,-72.559673,Massachusetts,Bay St,,,1950,R3,616,,42.122154,,,01109,,,,,SPRINGFIELD,010850349,1038470.0,61931,"616 Bay St, Springfield Massachusetts 01109",US,Springfield,970: Housing Authority
,False,"27 Central St, Springfield, Massachusetts 01105",42.09752,"Neighborhood: South End, Zip Code: 01105",-72.58058,P311802,,,NORTHERN HEIGHTS LIMITED PARTNERSHIP,02108,MA,ONE WASHINGTON MALL STE 500,,,,,-72.58058,Massachusetts,Central St,,,,S R3 B2,27,,42.09752,,,01105,,,617-742-4500,,BOSTON,025600238,72446.0,68531,"27 Central St, Springfield Massachusetts 01105",US,Springfield,114: Affordable Housing Units
,False,"537 Bay St, Springfield, Massachusetts 01109",42.122154,"Neighborhood: Bay, Zip Code: 01109",-72.559673,P304565,,,SPRINGFIELD HOUSING AUTHORITY,01104,MA,25 SAAB CT,,,,,-72.559673,Massachusetts,Bay St,,,1950,R3,537,,42.122154,,,01109,,,,,SPRINGFIELD,010850349,1038470.0,61904,"537 Bay St, Springfield Massachusetts 01109",US,Springfield,970: Housing Authority
,False,"4 Gerrish CT, Unit 203, Springfield, MA 01105",42.101239,,-72.568475,,,,,,,,,,,,-72.568475,MA,Gerrish CT,203,,,,4,,42.101239,,,01105,,,,,,,,120814,"4 Gerrish CT, Unit 203, Springfield  MA 01105",US,Springfield ,
,False,"469 State St, Unit 2R, Springfield, MA 01105",42.107655,,-72.57711,,,,,,,,,,,,-72.57711,MA,State St,2R,,,,469,,42.107655,,,01105,,,,,,,,120773,"469 State St, Unit 2R, Springfield  MA 01105",US,Springfield ,
,False,"298 Oakland St, Springfield, Massachusetts 01108",42.093109,"Neighborhood: Forest Park, Zip Code: 01108",-72.562956,P340451,,,OAKLAND STREET PROPERTIES LLC,01108,MA,290 OAKLAND ST,,,,,-72.562956,Massachusetts,Oakland St,,,1917,R2,298,,42.093109,,,01108,,,,,SPRINGFIELD,092100059,4600.0,94679,"298 Oakland St, Springfield Massachusetts 01108",US,Springfield,111: Apartments - 4 To 8 Units
,False,"18 Northampton Ave, Springfield, Massachusetts 01109",42.11105,"Neighborhood: Upper Hill, Zip Code: 01109",-72.560326,P339577,,,FREEMAN JONATHAN M,01109,MA,1007 ROOSEVELT AV,,,,,-72.560326,Massachusetts,Northampton Ave,,,1903,R2,18,,42.11105,,,01109,,,331-9165,,SPRINGFIELD,091300004,5991.0,93865,"18 Northampton Ave, Springfield Massachusetts 01109",US,Springfield,104: Two-Family
,False,"68 Edmund Wynne Cir, Springfield, Massachusetts 01109",42.122154,"Neighborhood: Bay, Zip Code: 01109",-72.559673,P319138,,,SPRINGFIELD HOUSING AUTHORITY,01104,MA,25 SAAB CT,,,,,-72.559673,Massachusetts,Edmund Wynne Cir,,,1950,R3,68,,42.122154,,,01109,,,,,SPRINGFIELD,010850349,1038470.0,75249,"68 Edmund Wynne Cir, Springfield Massachusetts 01109",US,Springfield,970: Housing Authority
,False,"87 Edgewood St, Springfield, Massachusetts 01109",42.11961,"Neighborhood: Bay, Zip Code: 01109",-72.560044,P319111,,,MERCADO JACQUELINE,01109,MA,89 EDGEWOOD ST,,,,,-72.560044,Massachusetts,Edgewood St,,,1925,R2,87,,42.11961,,,01109,,,,,SPRINGFIELD,044400024,5523.0,75222,"87 Edgewood St, Springfield Massachusetts 01109",US,Springfield,104: Two-Family
,False,"286 Union St, Unit 2, Springfield, MA 01105",42.103376,,-72.579921,,,,,,,,,,,,-72.579921,MA,Union St,2,,,,286,,42.103376,,,01105,,,,,,,,120751,"286 Union St, Unit 2, Springfield  MA 01105",US,Springfield ,
,False,"*41 School St, Unit 4, Springfield, MA 01105",42.104062,,-72.580944,,,,,,,,,,,,-72.580944,MA,School St,4,,,,*41,,42.104062,,,01105,,,,,,106500059  ,,120747,"*41 School St, Unit 4, Springfield  MA 01105",US,Springfield ,
